student_id,student_name,subject,grade,date,teacher,assignment,notes
7,Волков Сергей,Математика,4,2024-03-20,Петрова А.С.,Самостоятельная работа,
7,Волков Сергей,Биология,5,2024-04-02,Федорова Е.В.,Лабораторная работа,
8,Смирнова Ольга,Математика,5,2024-01-15,Петрова А.С.,Контрольная работа №1,
8,Смирнова Ольга,Физика,5,2024-01-18,Сидоров В.П.,Лабораторная работа,
8,Смирнова Ольга,Математика,5,2024-02-10,Петрова А.С.,Контрольная работа №2,
8,Смирнова Ольга,Химия,5,2024-02-15,Козлова М.А.,Практическая работа,
8,Смирнова Ольга,Физика,4,2024-03-05,Сидоров В.П.,Контрольная работа,
8,Смирнова Ольга,Математика,5,2024-03-20,Петрова А.С.,Самостоятельная работа,
8,Смирнова Ольга,Биология,5,2024-04-02,Федорова Е.В.,Лабораторная работа,
9,Лебедев Павел,Математика,3,2024-01-15,Петрова А.С.,Контрольная работа №1,
9,Лебедев Павел,Физика,3,2024-01-18,Сидоров В.П.,Лабораторная работа,
9,Лебедев Павел,Математика,4,2024-02-10,Петрова А.С.,Контрольная работа №2,
9,Лебедев Павел,Химия,3,2024-02-15,Козлова М.А.,Практическая работа,
9,Лебедев Павел,Физика,4,2024-03-05,Сидоров В.П.,Контрольная работа,
9,Лебедев Павел,Математика,4,2024-03-20,Петрова А.С.,Самостоятельная работа,
9,Лебедев Павел,Биология,4,2024-04-02,Федорова Е.В.,Лабораторная работа,
10,Кузнецова Татьяна,Математика,4,2024-01-15,Петрова А.С.,Контрольная работа №1,
10,Кузнецова Татьяна,Физика,5,2024-01-18,Сидоров В.П.,Лабораторная работа,
10,Кузнецова Татьяна,Математика,5,2024-02-10,Петрова А.С.,Контрольная работа №2,
10,Кузнецова Татьяна,Химия,4,2024-02-15,Козлова М.А.,Практическая работа,
10,Кузнецова Татьяна,Физика,5,2024-03-05,Сидоров В.П.,Контрольная работа,
10,Кузнецова Татьяна,Математика,4,2024-03-20,Петрова А.С.,Самостоятельная работа,
10,Кузнецова Татьяна,Биология,5,2024-04-02,Федорова Е.В.,Лабораторная работа,

